,country,code,name,latitude,longitude
31763,GR,KZI,Filippos Airport,40.28609848022461,21.84079933166504
31749,GR,HER,Heraklion International Nikos Kazantzakis Airport,35.3396987915,25.1802997589
31748,GR,IOA,Ioannina Airport,39.6963996887207,20.82250022888184
31759,GR,CFU,Ioannis Kapodistrias International Airport,39.601898193359375,19.911699295043945
31754,GR,KLX,Kalamata Airport,37.06829833984375,22.02549934387207
31758,GR,AOK,Karpathos Airport,35.4213981628418,27.145999908447266
31752,GR,EFL,Kefallinia Airport,38.12009811401367,20.5004997253418
31757,GR,KGS,Kos Airport,36.79330062866211,27.09169960021973
31770,GR,JMK,Mikonos Airport,37.43510055541992,25.348100662231445
31773,GR,MJT,Mytilene International Airport,39.0567016602,26.5983009338
31741,GR,VOL,Nea Anchialos Airport,39.21960067749024,22.794300079345703
31786,GR,SMI,Samos Airport,37.68999862670898,26.911699295043945
31789,GR,JTR,Santorini Airport,36.39920043945313,25.47929954528809
31790,GR,JSH,Sitia Airport,35.21609878540039,26.101299285888672
31785,GR,JSI,Skiathos Island National Airport,39.177101135253906,23.503700256347656
31796,GR,SKG,Thessaloniki Macedonia International Airport,40.51969909667969,22.97089958190918
31799,GR,ZTH,"Zakynthos International Airport ""Dionysios Solomos""",37.7509,20.8843
